Complexity,Loss,Equation
1,33.60272,"2.3552182"
3,6.12818,"x0 * x0"
5,3.045492,"(x0 * x0) + -1.7557486"
7,3.029573,"((x0 * 0.9776894) * x0) + -1.6640291"
8,1.118488,"(x0 * x0) + (cos(x3) + -1.8519864)"
10,2.2511913e-13,"(x0 * x0) + ((cos(x3) * 2.5382) + -2.0)"
12,2.2026523e-13,"(x0 * x0) + (((cos(x3) + -0.07691679) * 2.5382) + -1.8047698)"
16,2.1907062e-13,"(x0 * x0) + (((cos(x3) * 2.5382) + -2.0) + ((x0 * x0) * 8.157118e-9))"
18,2.1838229e-13,"(x0 * x0) + (((cos(x3) + (exp(cos(x2 + -1.4902514)) * 1.261977e-8)) * 2.5382) + -2.0)"
21,2.1809807e-13,"(x0 * x0) + (((cos(x3) + ((exp(cos(sin(x1) * x2)) + x2) * 8.157118e-9)) * 2.5382) + -2.0)"
