Complexity,Loss,Equation
1,83.53895,"1.0167353"
2,2.4469315e-14,"inv(x0)"
6,1.7497116e-14,"inv(x0 + (x0 * -3.5551768e-8))"
7,1.3289369e-14,"inv(x0 * (x0 * inv(x0)))"
11,5.719869e-15,"inv(x0) + ((x4 * 5.7541576e-9) * (x2 * inv(x0)))"
15,5.67546e-15,"inv(x0) + (((inv(x0) * x4) * ((x2 + -0.07268075) * x2)) * -1.4357218e-9)"
16,3.6148863e-15,"inv(x0) + ((x4 * (x2 + (inv(x3) * 0.08643277))) * (inv(x0) * 5.956601e-9))"
18,2.593481e-15,"inv(x0) + (((x4 * inv(x0)) * (x2 + inv((x3 * -0.75829965) + 0.20953836))) * 6.1331824e-9)"
20,1.438849e-15,"inv(x0) + ((x4 * inv(x0)) * ((x2 + inv((x3 * -0.75829965) + (x2 * 0.10645827))) * 6.1331824e-9))"
22,1.3322676e-15,"inv(x0) + (((inv(x0) * x4) * ((x2 + -0.19947754) + inv((x2 * 0.10645827) + (x3 * -0.75829965)))) * 5.438642e-9)"
23,1.1990409e-15,"inv(x0) + (x4 * (inv(x0) * (5.598052e-9 * (inv(inv(x4 + 4.869727) + (x0 * (x3 * -3.1823494))) + x2))))"
25,1.1723956e-15,"inv(x0) + ((((x4 * x2) + inv((x3 * -0.79818285) + ((inv(x1 * x2) + x0) * 0.41792148))) * 5.1869367e-9) * inv(x0))"
28,1.1635137e-15,"inv(x0) + (((x4 * x2) + inv((x3 * -0.79818285) + ((inv(x1 * x2) + x0) * inv(x1 * x2)))) * (5.1869367e-9 * inv(x0)))"
29,1.1013412e-15,"inv(x0) + (((inv(x0) * x4) * 5.288938e-9) * (x2 + inv(((x0 * x3) * -2.7069583) + inv((((x1 + x3) + 1.034434) * 2.013643) + x1))))"
