Complexity,Loss,Equation
1,0.12734985,"1.2113845"
6,0.11307833,"(1.9109234 / Se) ^ 0.22293626"
8,0.11306775,"((Se + 0.073540196) ^ -0.28833303) + 0.17589483"
10,0.097883396,"((71.19144 / Re) + Se) / Se"
11,0.09579651,"((Se / 2.0649095) ^ -0.3807162) + (Re * -0.00045080585)"
12,0.09220051,"((71.19144 / Re) + Se) / (Se ^ 1.0967828)"
14,0.08928978,"(((11.835327 / (Re ^ 0.5682237)) + Se) / Se) / 1.2080915"
16,0.089222215,"(((1.7895635 / ((Re / 13.979826) ^ 0.49884477)) + Se) / Se) - 0.18418854"
17,0.08906403,"((11.329664 / (((Se ^ 0.71346354) * Re) ^ 0.71346354)) + Se) / Se"
18,0.08858234,"(19.678762 / ((Re * (Se * Se)) ^ 0.81826705)) + (Se / Se)"
20,0.08854725,"(Se / Se) + (11.346247 / ((((Se * Re) * 0.545494) * Se) ^ 0.808458))"
