Complexity,Loss,Equation
1,45.502197,"20.014498"
4,43.724884,"Se + 19.11488"
6,34.31462,"(Se ^ 6.4746) + 17.789913"
7,31.994442,"(Re * Se) ^ 0.4743162"
9,24.336802,"(Re * 0.010661201) + (Se / 0.068778604)"
11,23.252216,"((Re * 0.0654496) ^ 0.6158769) + (Se / 0.0830212)"
13,21.00626,"((Se + 0.92719114) ^ 3.4423878) + ((0.059339277 * Re) ^ 0.66957927)"
15,20.156027,"(((Se + 0.63875455) ^ 3.903172) + ((Re * 0.12792684) ^ 0.57106745)) - -1.629598"
17,19.996883,"(((Se + 0.5673741) ^ 4.016404) + (((Re * 0.16551884) ^ 0.5471382) + 1.2028081)) - -0.5822235"
18,19.826801,"((Se + 0.5673741) ^ 4.016404) + (((Re * 0.16551884) ^ 0.5471382) - (-0.5822235 - SoH))"
19,19.815357,"((((Re * 0.25079027) + -0.11048361) ^ 0.515251) + (((Se + 0.5443987) ^ 4.1215973) - -0.2586434)) - -0.75060534"
