Complexity,Loss,Equation
1,0.6307602,"1.7009528"
4,0.48022613,"Se - -0.80240035"
6,0.4767239,"(Se ^ 1.207822) + 0.80580354"
7,0.47329766,"(Re ^ -0.03259714) + Se"
9,0.4430113,"(Se + 0.55799735) - (-96.47816 / Re)"
11,0.44286582,"(Se + 0.55799735) - (-96.47816 / (2.467317 + Re))"
12,0.44231084,"(Se + (Re ^ -0.074626304)) - (-67.078064 / Re)"
13,0.43858936,"((((Re ^ 0.08583139) - 0.6441852) ^ -2.202841) + Se) + -0.10014319"
16,0.4379287,"((((Re ^ 0.08583139) - 0.6441852) ^ -2.202841) + Se) + (Se * -0.10014319)"
18,0.43757433,"(((((Re ^ 0.08754876) - 0.59789014) ^ -2.217354) + Se) + (Re * -0.00011311881)) + 0.086693436"
