Complexity,Loss,Equation
1,45.502197,"20.014479"
4,43.724884,"Se + 19.115513"
6,34.314617,"(Se ^ 6.474482) + 17.789537"
9,21.840813,"(Se + (Re ^ 0.15773125)) ^ 2.345272"
11,21.213749,"((Re ^ 0.16190591) + (Se + -0.3271777)) ^ 2.4759429"
12,20.309546,"((Re ^ 0.2075513) + (Se * Se)) ^ 1.9833294"
13,20.125086,"(((Se ^ 1.9682124) + (Re ^ 0.19726788)) ^ 1.9682124) - -1.781461"
14,19.218807,"(((Re ^ 0.2075513) + (Se ^ 1.9833294)) ^ 1.9833294) - Se"
15,19.204424,"(((Re ^ 0.2075513) + (Se * Se)) ^ 1.9833294) - Se"
19,18.80257,"(((((-1.0855736 + SoH) + Se) * Se) + (Re ^ 0.2075513)) ^ 1.9833294) - -0.7117462"
