Complexity,Loss,Equation
1,45.502197,"20.014265"
4,43.724884,"Se + 19.114956"
6,34.314617,"(Se ^ 6.474706) + 17.789408"
9,24.192266,"(Re ^ 0.41138795) * (Se + 0.624138)"
11,22.029097,"((Se * 14.346224) + -8.463043) + (Re ^ 0.4351086)"
12,21.666924,"(Re ^ 0.36761308) * (1.1299481 + (Se * Se))"
13,19.676674,"(((Se ^ 2.9256034) + 3.3837) * (Re ^ 0.28374907)) - 4.897921"
14,19.655205,"((Pr + (Se ^ 2.8788738)) - -1.7768098) * (Re ^ 0.28174925)"
15,18.83971,"((0.8426439 - -2.59131) + (Se ^ 3.7606986)) * ((Re ^ 0.2731514) - 0.9884587)"
16,18.584888,"((Pr - -2.59131) + (Se ^ 3.7606986)) * ((Re ^ 0.2731514) - 0.9884587)"
18,18.388235,"((Se ^ 4.185905) + 4.0609593) * ((((Pr * 1.070041) * Re) ^ 0.26135978) + -0.9857093)"
20,18.367487,"(((Se ^ 4.185905) + 4.0609593) * ((((Pr * 1.070041) * Re) ^ 0.26135978) + -0.9857093)) - -0.14105543"
