Complexity,Loss,Equation
1,43.163445,"19.55174"
4,41.376442,"x0 + 18.653095"
6,31.872395,"(x0 ^ 6.476371) - -17.337564"
9,22.116762,"(x0 + 1.0161958) * (x1 ^ 0.3734438)"
11,16.745886,"(x1 ^ 0.35097298) / ((x0 * -0.35302523) + 0.7870944)"
13,16.494333,"((x1 ^ 0.3734438) / ((x0 * -0.4709393) + 1.0161958)) + 1.2215081"
14,16.323963,"((x1 ^ 0.3734438) / ((x0 * -0.4709393) + 1.0161958)) + x3"
16,15.864899,"(((x1 ^ 0.31312525) + x3) + -1.6660721) / ((x0 * -0.24888083) + 0.5560283)"
18,15.776433,"(((x1 ^ 0.33051717) - (x3 * -1.8209629)) + -2.1429954) / ((x0 * -0.29389015) + 0.65658903)"
19,15.741444,"((-1.6660721 + (x3 * x3)) + (x1 ^ 0.31312525)) / ((x0 * -0.24888083) + 0.5560283)"
