Complexity,Loss,Equation
1,43.429,"19.504105"
4,41.562923,"x0 + 18.598349"
6,31.705976,"(x0 ^ 6.506126) + 17.242523"
7,29.012724,"(x1 ^ 0.49629295) * x0"
9,21.392553,"(x1 ^ 0.41530144) * (x0 + 0.5736722)"
11,19.937965,"(x1 ^ 0.3662485) * ((0.8273239 + x0) ^ 1.2908283)"
12,18.341377,"((x0 * x0) - -2.067819) * (x1 ^ 0.30546835)"
13,16.371689,"((x1 ^ 0.2700386) * ((x0 ^ 3.2012324) + 3.0814052)) + -2.5235605"
15,16.361885,"(((x1 ^ 0.2700386) * ((x0 ^ 3.2012324) + 3.0814052)) + -2.5235605) + 0.090186395"
16,15.600397,"((x1 ^ 0.2642912) * ((x0 ^ 3.2084496) + (x3 - -2.5588377))) + -3.424489"
