Complexity,Loss,Equation
1,1.1646447,"24.733585"
4,0.9940614,"x1 ^ 0.4146105"
6,0.9726608,"(x1 * 0.0059871254) - -10.871114"
8,0.9726605,"((x1 * 0.005987064) + 15.313141) - 4.441885"
9,0.9490645,"(x1 * 0.00688443) - (-7.8540893 - x3)"
11,0.9490644,"(x1 * 0.0068831574) - ((-10.276347 - x3) + 2.4193108)"
13,0.9277489,"(((1.2781217 / x1) ^ -0.6056115) * 0.27276325) + (-0.8048089 / x3)"
15,0.92568487,"(((1.044474 / x1) ^ -0.62119305) * 0.21758054) + ((-0.62597185 / x3) + -0.624976)"
16,0.9178221,"0.27276325 * (((1.3251495 / x1) ^ -0.6056115) + (-0.8048089 / (x3 * x3)))"
18,0.84623855,"0.27276325 * ((x2 * (1.1644828 / (x1 ^ -0.6056115))) + (0.23881592 / (-0.778674 + x3)))"
20,0.83704996,"(0.27276325 * (((1.1644828 / (x1 ^ -0.6056115)) * x2) + (0.26395106 / (-0.778674 + x3)))) + -0.15174024"
