Complexity,Loss,Equation
1,0.11342543,"1.2018048"
6,0.097791344,"(x0 * -0.3679494) + 1.531913"
8,0.09770516,"(2.2662995 - (x0 ^ 0.6130548)) ^ 0.62584513"
9,0.08603425,"0.88220066 + ((x1 ^ -0.22868863) / x0)"
11,0.0858321,"(((x1 + -5.7821712) ^ -0.22868863) / x0) + 0.88220066"
13,0.07743289,"((((x1 ^ 0.526934) * x0) ^ -0.7510814) / 0.1881812) + 0.6545582"
15,0.07664069,"(((((x1 ^ 0.50303936) * x0) + -0.5436876) ^ -0.8565104) / 0.20023222) + 0.75776225"
16,0.07656336,"(((((x1 ^ 0.5482024) + x0) * x0) ^ -0.8463417) / 0.15184766) + 0.7505832"
17,0.07639843,"((((((x1 / 0.90560794) ^ 0.50303936) * x0) + -0.85294664) ^ -0.8565104) / 0.20023222) + 0.75776225"
18,0.07607134,"(((((x0 + (x1 ^ 0.5090985)) * x0) + -0.85161513) ^ -0.848645) / 0.20351535) + 0.76657015"
